code;description;type
A1100000353;BROCA DIN-338 RN DIA.2,50 HSSTIN;MAINTENANCE_INPUT
A1100000355;BROCA DIN-338 RN DIA.3,00 HSSE-TIN TLS (AR00902);MAINTENANCE_INPUT
A1100000359;BROCA DIN-338 RN DIA.5,00 HSSE-TIN TLS (AR00910);MAINTENANCE_INPUT
A1100000360;BROCA DIN-338 RN DIA.5,20 HSSE-TIN TLS (AR00918);MAINTENANCE_INPUT
A1100000361;BROCA DIN-338 RN DIA.8,00 HSSE-TIN TLS (AR01130);MAINTENANCE_INPUT
A1100000362;BROCA DIN 338 DIA. 8,5 HSSE-TIN TLS;MAINTENANCE_INPUT
A1100000377;BROCA DIN-338 RN DIA.7,00 HSS (AR00073);MAINTENANCE_INPUT
A1100000394;BROCA DIN-338 RN DIA.5,00 HSSCO 8 (AR00063);MAINTENANCE_INPUT
A1100000430;BROCA DIN-338 RN DIA.11,00 HSSE-TIN TLS (AR00908);MAINTENANCE_INPUT
A1100000478;BROCA DIN-338 RN DIA.4,20 HSSE-TIN TLS (AR00909);MAINTENANCE_INPUT
A1100000535;BROCA DIN-338 RN DIA.3,20 HSSE-TIN TLS (AR00903);MAINTENANCE_INPUT
A1100000536;BROCA DIN-338 RN DIA.6,50 HSSE-TIN TLS (AR01135);MAINTENANCE_INPUT
A1100000596;BROCA DIN-338 RN DIA.6,00 HSSE-TIN TLS (AR00906);MAINTENANCE_INPUT
A1100000892;BROCA DIN-338 RN DIA.7,50 HSSTIN;MAINTENANCE_INPUT
A1100000980;BROCA DIN-338 DIA.16,00 HSS M/REBAJADO (AR01049);MAINTENANCE_INPUT
A1100000981;BROCA DIN-338 DIA.19,00 HSS M/REBAJADO (AR01050);MAINTENANCE_INPUT
A1100001124;BROCA DIN-338 RN DIA.4,00 HSSE-TIN TLS (AR00904);MAINTENANCE_INPUT
A1100001593;BROCA DIN-338 RN DIA.9,00 HSSE-TIN TLS (AR00912);MAINTENANCE_INPUT
A1100001798;BROCA DIN-338 RN DIA.4,70 HSSE-TIN TLS (AR01131);MAINTENANCE_INPUT
A1100002550;LINTERNA RECARG LED 3.7V 2.6A.H 600LM (AR01137);MAINTENANCE_INPUT
A1100003692;PAÑO LIMPIEZA MICROFIBRA AZUL GEKATEX;MAINTENANCE_INPUT
A1100004166;PACK 10 CUCHILLAS ANCHO 18 MM.NERIOX (AR01111);MAINTENANCE_INPUT
A1110015220;BROCA DIN-338 RN DIA.3,00 HSS (AR00054);MAINTENANCE_INPUT
A1110015226;BROCA DIN-338 RN DIA.3,30 HSSCO 8 (AR00058);MAINTENANCE_INPUT
A1110015230;BROCA DIN-338 RN DIA.3,50 HSSE TALN (AR00057);MAINTENANCE_INPUT
A1110015240;BROCA DIN-338 RN DIA.4,00 HSSE TALN (AR00059);MAINTENANCE_INPUT
A1110015260;BROCA DIN-338 RN DIA.5,00 HSS TALN (AR00064);MAINTENANCE_INPUT
A1110015264;BROCA DIN-338 RN DIA.5,20 HSS TALN (AR00065);MAINTENANCE_INPUT
A1110015266;BROCA DIN-338 RN DIA.5,30 HSS TALN (AR00066);MAINTENANCE_INPUT
A1110015280;BROCA DIN-338 RN DIA.6,00 HSS TALN (AR00391);MAINTENANCE_INPUT
A1110015290;BROCA DIN-338 RN DIA.6,50 HSS TALN (AR00070);MAINTENANCE_INPUT
A1110015300;BROCA DIN-338 RN DIA.7,00 HSS TALN (AR00073);MAINTENANCE_INPUT
A1110015340;BROCA DIN-338 RN DIA.9,00 HSS TALN (AR00079);MAINTENANCE_INPUT
A1110015366;BROCA DIN-338 RN DIA.10,50 HSSE TALN (AR00082);MAINTENANCE_INPUT
A1110043250;BROCA DIN-338 RN DIA.4,50 HSSTIN;MAINTENANCE_INPUT
A1110043258;BROCA DIN-338 RN DIA.4,90 HSSE-TIN TLS (AR00062);MAINTENANCE_INPUT
A1110043284;BROCA DIN-338 RN DIA.6,20 HSSE-TIN TLS (AR00907);MAINTENANCE_INPUT
A1134066003;FLEXOMETRO 3M ANCHO 12.7MM REF.133218 (AR00212);MAINTENANCE_INPUT
A1134066005;FLEXOMETRO 19MM LONG.5MTS REF.1-33-194 ANTI-GRIP (AR00213);MAINTENANCE_INPUT
A1141340002;FRESA ROTATIVA M.D. WRC 0616 ALU;MAINTENANCE_INPUT
A1141340005;FRESA ROTATIVA M.D. WRC-1225.06 DENT.6 (AR00225);MAINTENANCE_INPUT
A1141343002;FRESA ROTATIVA M.D. SPG-0618.06 DENT.3 (AR00228);MAINTENANCE_INPUT
A1141371025;FRESA ROTATIVA M.D. TRE-1220 D1 ALU (AR00227);MAINTENANCE_INPUT
A1141372025;FRESA ROT. M.D. KEL 1230.06 Z-1 ALU-CUT (AR00233);MAINTENANCE_INPUT
A1147480020;CEPILLO PINCEL TRENZ.INOX DIA.20 EJE 6 (AR00099);MAINTENANCE_INPUT
A1164866103;PILA MIGNON/AA LR6 (AR00308);MAINTENANCE_INPUT
A1164866106;PILA MICRO/AAA LR03 (AR00309);MAINTENANCE_INPUT
A1170158001;CANDADO 35 MM 45/30 ABUS (AR00093);MAINTENANCE_INPUT
A1416248002;BURRAWAY 10,5 MM. (.4134) C/DA STD (AR00090);MAINTENANCE_INPUT
A2403060603;FRESA M.D. TCC-0606 DENT. 3 (AR00218);MAINTENANCE_INPUT
A2403120663;FRESA M.D. TCC-1206 DENT.63 (AR00225);MAINTENANCE_INPUT
A2408060613;FRESA M.D. TCH-0606 DENT.13 ALU-CUT (AR00229);MAINTENANCE_INPUT
A7000000203;ENVASE METALICO SIN TAPA DE 25 KG (AR00684);MAINTENANCE_INPUT
A7000000626;PAPEL DE EMBALAJE 110 CM REF. 122110 (AR00689);MAINTENANCE_INPUT
A7000000627;PAPEL DE EMBALAJE 60 CM ROLLO 25KG;MAINTENANCE_INPUT
A7000000842;MANGUERA AIRE 12-20 30 ATM (AR00280);MAINTENANCE_INPUT
A7000000861;PALETINA RADIAD. CERDA BCA.N.21 10X48X50 (AR00389);MAINTENANCE_INPUT
A7000000880;PINCELES VL.REDONDOS NR.20 (AR00313);MAINTENANCE_INPUT
A7000000890;PORTA MANGUITOS CONICO PFERD GK362260 (AR00566);MAINTENANCE_INPUT
A7000000971;DISCO PULIR D.150 VELCRO 8/AGROS. GR.80 ZIRCONIO (AR00686);MAINTENANCE_INPUT
A7000000973;DISCO PULIR D.150 VELCRO 8/AGROS. GR.240 ZIRCONIO (AR00685);MAINTENANCE_INPUT
A7000000975;CINTA PAPEL IMPREG/BARNIZADO KREPP 19MM 3M (AR00106);MAINTENANCE_INPUT
A7000000976;CINTA PAPEL IMPREG/BARNIZADO KREPP 50MM 3M (AR00108);MAINTENANCE_INPUT
A7000001005;CINTA PAPEL IMPREG/BARNIZADO KREPP 38MM 3M (AR00107);MAINTENANCE_INPUT
A7000001017;ABRAZADERA T SIN-FIN 12-22  (AR00001);MAINTENANCE_INPUT
A7000001021;DISCO DESBAR. 125X7X22,2 A36N BFX (ALUMINIO) (AR00187);MAINTENANCE_INPUT
A7000001038;H.SIERRA MAN. 12,7X0,63 AR LENOX(BLANCA) (AR00252);MAINTENANCE_INPUT
A7000001192;MANGUERA SUPERNOBELAIR 20 ATM. DIA. 10 (AR00990);MAINTENANCE_INPUT
A7000001343;CINTA TESAFILM 4204 ROJA DE 25 MM 66M. (AR00703);MAINTENANCE_INPUT
A7000001414;ENVASE METALICO S/TAPA CAPACIDAD 10 KGS. (AR00683);MAINTENANCE_INPUT
A7000001417;MANGUERA PINTURA BRAITEL PLP D.6X10 (AR00726);MAINTENANCE_INPUT
A7000001554;TUBO CTO. M-8 DE 1,0 REF. A.1400316 (AR00360);MAINTENANCE_INPUT
A7000001556;DIFUSOR DE GAS 401-501 A.0300029 (AR00174);MAINTENANCE_INPUT
A7000001559;PROLONGACION BOQUILLA 401 (AR00322);MAINTENANCE_INPUT
A7000001562;SIRGA FORRADA 1,0-1,2 6MT. REF.A1240 (AR00424);MAINTENANCE_INPUT
A7000001563;TUBO TECALAN P/HILO 1,25 (AR00363);MAINTENANCE_INPUT
A7000001632;PILA RECTANGULAR 9 V 6F22 ALCALINA (AR00311);MAINTENANCE_INPUT
A7000001751;PISTOLA APLICACION SILICONA 3M REF.8013 (AR00315);MAINTENANCE_INPUT
A7000001808;FILM PLASTICO CON CINT. ADHESIVA 60 CM (AR00677);MAINTENANCE_INPUT
A7000001809;FILM PLASTICO CON CINT. ADHESIVA 90 CM (AR00678);MAINTENANCE_INPUT
A7000001824;GRIFO SETTE PARA BIDON (AR00741);MAINTENANCE_INPUT
A7000001912;MANGO PARA RODILLO ESPUMA DE 11 CM. (AR00279);MAINTENANCE_INPUT
A7000001969;VASELINA NEUTRA FILANTE (1 KG.) (AR00366);MAINTENANCE_INPUT
A7000002167;DISCO DE CORTE BFTMA46S DE 125X1,6X22 (AR00186);MAINTENANCE_INPUT
A7000002193;CINTA ADHESIVA 2903 ROTUNDA 200MM X 100M (AR00101) TESA;MAINTENANCE_INPUT
A7000002223;BOTELLIN APLICADOR GRACO REF.220005 (AR01124);MAINTENANCE_INPUT
A7000005001;CEPILLO INOX DIA.25 EJE 6 (AR00098);MAINTENANCE_INPUT
B0000000152;FRESA M.D. KEL 2020 ALU M-6;MAINTENANCE_INPUT
B0000000187;CEPILLO RUFTUF 0,15 Ø30 INOX REFO D6 VAP;MAINTENANCE_INPUT
B0000004910;DISCO POLIFAN PFC 180 A-COOL 60 SG INOX+ALU (AR01174);MAINTENANCE_INPUT
B0000005492;BANDA ABRASIVA DC242 13X610M P-60 ZA;MAINTENANCE_INPUT
B0000007983;CAJA BLOQUEO MASTER  COLOR ROJO 169MM x 324MM;MAINTENANCE_INPUT
B0000009427;SIKA CLEANER PCA CAJA DE 168 UNIDADES;MAINTENANCE_INPUT
B0000016005;FIELTRO -IT Ø125 PN09358 FINESSE     ;MAINTENANCE_INPUT
A7000001058;ANTIALGAS NALCO   REF.344670;MAINTENANCE_INPUT
A0000037864;CUCHILLAS REPUESTO HD STANDARD 96397;MAINTENANCE_INPUT
A0000038349;TUBO METACRILATO DIA.120 L700 C/GUIA ALU;MAINTENANCE_INPUT
A0000038962;BASTIDOR RODANTE PLAST.ABS 605X410 250KG;MAINTENANCE_INPUT
A0000038963;LANZA P/ENGANCHAR BASTIDOR RODANTE;MAINTENANCE_INPUT
A0000053657;AR01011 BROCA A530 D=32,00 REF.A53032.0;MAINTENANCE_INPUT
A0003001013;BROCA M/CIL. DIA.17X76X152 HSSE TIALN;MAINTENANCE_INPUT
A0003001406;BROCA M/CIL.DIA.10X300X400 HSSE TIALN;MAINTENANCE_INPUT
A0003001690;BROCA DIN1897 DIA.9 HSS TINALOX;MAINTENANCE_INPUT
A0003001900;BROCA DIN1897 D4,90 HSS TINALOX;MAINTENANCE_INPUT
A0003001907;BROCA DIN-338 D.4,9 HSS TINALOX;MAINTENANCE_INPUT
A0003002007;BROCA DIN1897 D.13,5 HS TINALOX;MAINTENANCE_INPUT
A0003002008;BROCA DIN1897 DIA.14 HS TINALOX;MAINTENANCE_INPUT
A0003002027;BROCA DIN-338 D.9,3 HSS TINALOX;MAINTENANCE_INPUT
A0003002043;BROCA DIN-338 D12,5 HSS TINALOX;MAINTENANCE_INPUT
A0003002118;BROCA SD1103-0900-035-10R1;MAINTENANCE_INPUT
A0005003231;MACHO MAQ.RECTO HSSE TICN DIN376/374 M-32X1,5;MAINTENANCE_INPUT
A0005003249;MACHO MAQ. DIN-376 M-10X1,25 HSSE TICN;MAINTENANCE_INPUT
A0007001473;PLAQUITA M.D. 3M AXKT-1304-PDR IC-928;MAINTENANCE_INPUT
A0007001694;PLAQUITA M.D. MM HCR 120-2-T08 IC-908;MAINTENANCE_INPUT
A0007002219;PLAQUITA M.D. HM90 APCR 100304PDFR -P 08;MAINTENANCE_INPUT
A0007002294;PLAQUITA M.D. IDP 140 IC-908;MAINTENANCE_INPUT
A0007002862;PLAQUITA M.D. IDN 140  IC-08;MAINTENANCE_INPUT
A0007003427;PLAQUITA M.D.HM90 APCR-160516R-P IC-28;MAINTENANCE_INPUT
A0007003553;PLAQUITA HM90 APCR 220605R-P IC28;MAINTENANCE_INPUT
A0007003671;PLAQUITA HCR D200-QP ISCAR;MAINTENANCE_INPUT
A0007003722;PLAQUITA M.D. ICP 190 IC908;MAINTENANCE_INPUT
A0007004189;PLAQUITA M.D. ICP 090    IC908;MAINTENANCE_INPUT
A0007004667;PLAQUITA M.D. HCR D200-QP IC928;MAINTENANCE_INPUT
A0007004676;PLAQUITA S/RECUB.SNHQ120302ER4-E05,H25;MAINTENANCE_INPUT
A0008002058;BROCA DSM 140-042-16A-3D;MAINTENANCE_INPUT
A0008002100;COOLING TUBE HSK A63;MAINTENANCE_INPUT
A0009001565;FRESA HM90 EAL-D25-C25-L14 O-15;MAINTENANCE_INPUT
A0019000569;PLAQUITA ISCAR  SPU 422 IC50M;MAINTENANCE_INPUT
A0019001365;FRESA DISCO D.160X6 R335.19 (75012913);MAINTENANCE_INPUT
A0019002611;FRESA INTEGRAL HCM-D20-AL150 C20 TIALN;MAINTENANCE_INPUT
A0019004520;FRESA EC-A2 16-65C16E150  IC08;MAINTENANCE_INPUT
A0019004937;FRESA ESTANDAR R335.19-063.06.22-3;MAINTENANCE_INPUT
A0019523623;PLAQUITA ISCAR OFMT D7T3-RER-76 IC950;MAINTENANCE_INPUT
A0020000503;SIERRA CINTA  7070X54X1,6 Z4/6 M42;MAINTENANCE_INPUT
A0020000503;SIERRA CINTA 7070X54X1,6 Z4/6 M42;MAINTENANCE_INPUT
A0020000780;SIERRA CINTA  5500X34X1,1 DEN. 4/6  M42;MAINTENANCE_INPUT
A0023000518;FRESAR ROT.M.D.ZYAS 0616.6 Z3 PLUS;MAINTENANCE_INPUT
A0023000546;FRESA  METAL DURO ZYAS 0820 ALU M6;MAINTENANCE_INPUT
A0023000576;FRESA ROTATIVA ZYAS 1020 ALU M6;MAINTENANCE_INPUT
A0023000587;FRESA ROT.MD CON.RD KEL 0820 D3P M6;MAINTENANCE_INPUT
A0031004008;MANGO SM16-L230-C32;MAINTENANCE_INPUT
A0031004070;PORTAFRESAS DIN69893 HSK-A63-SEM22;MAINTENANCE_INPUT
A0031004073;PORTAFRESAS DIN69893 HSK-A63-CF4-S;MAINTENANCE_INPUT
A0031005291;PORTAPINZAS HSK A 63 ER32X80 COD.4561150;MAINTENANCE_INPUT
A0031006009;PORTAPINZAS HSK A 63 ER 32X120 4561151;MAINTENANCE_INPUT
A0035019460;TACO DE NYLON DIA.60 MM.REF.3508-060;MAINTENANCE_INPUT
A0038004883;TOBERA D.2,3 REF. 0126933 (PACK 5 UDS.);MAINTENANCE_INPUT
A0040002294;DISCO DIAMANTE MOD.41D P/FRE. REF.102406;MAINTENANCE_INPUT
A0053001157;PALPADOR DIA.6MM L-100MM REF.A-5000-3712;MAINTENANCE_INPUT
A0710063641;PLAQUITA M.D. ADKT 1505PDTR-RM IC-950;MAINTENANCE_INPUT
A0716851341;PLAQUITA M.D. SEKR-1203 AFN-76 IC-950;MAINTENANCE_INPUT
A0720567335;PLAQUITA M.D. HM90 APCR 160504R-P IC-28;MAINTENANCE_INPUT
A0720567635;PLAQUITA M.D. HM90 APCR-160525R-P IC-28;MAINTENANCE_INPUT
A0920397009;FRESA HM90 E90A-D20-2-C20-B;MAINTENANCE_INPUT
A1100000788;BROCA MDI TIPO 300 DIA.6,10 3XD TIAL-N;MAINTENANCE_INPUT
A1100001703;FRESA ROTATIVA TCK 1206-63 BIAX;MAINTENANCE_INPUT
A1300000045;RODAMIENTO REF. 626ZZ 6X19X6;MAINTENANCE_INPUT
A1416263002;BURRAWAY 13,9 MM. (.5469) C/DA STD;MAINTENANCE_INPUT
A2408060603;FRESA M.D. TCH-0606 DENT. 3;MAINTENANCE_INPUT
A7000001192;MANGUERA SUPERNOBELAIR 20 ATM. DIA. 10;MAINTENANCE_INPUT
A7000001388;CIMTAP PASTA P/ROSCAR (BOTE 30 KG.);MAINTENANCE_INPUT
A7000002207;CERAMICA REF. 260432  P/TRUMPF LASER;MAINTENANCE_INPUT
A9808115035;TORNILLO SR14-0180;MAINTENANCE_INPUT
A9814401172;CUCHILLA BURRAWAY DA 4     STD;MAINTENANCE_INPUT
B0000000627;PLAQUITA M.D. HM90 APCR 160550R-P IC28;MAINTENANCE_INPUT
B0000002383;CONO HSK-A 63 SEM 32X100*;MAINTENANCE_INPUT
B0000004052;PORTA-PINZAS HSK A63 ER40X100;MAINTENANCE_INPUT
B0000006075;FRESA SM D63-40-27-22;MAINTENANCE_INPUT
B0000006439;SIERRA MULTIMAT 235X2,4X30/25D 64TR-F;MAINTENANCE_INPUT
B0000006469;FRESA EC-A2 20-65C20E150  IC08;MAINTENANCE_INPUT
B0000007149;PLAQUITA HM90 APCR 220650R-P IC28;MAINTENANCE_INPUT
B0000007349;BROCA SD1103-1120-040-12R1;MAINTENANCE_INPUT
B0000009300;BROCA MDI TIPO 300 DIA 7,10 3XD TIAL-N;MAINTENANCE_INPUT
B0000009722;PORTA-HTAS HSK A63 EM80X276-13683*;MAINTENANCE_INPUT
B0000010466;BROCA SD1103-1080-040-12R1;MAINTENANCE_INPUT
B0000010469;BROCA SD1103-1250-043-14R1;MAINTENANCE_INPUT
B0000010873;FRESA EC-A2 20-32C20E100  IC08;MAINTENANCE_INPUT
B0000011132;FRESA ECA-H3 20-30/60C20CF-R32;MAINTENANCE_INPUT
B0000012311;HSK A63 ER32X100;MAINTENANCE_INPUT
B0000012577;PORTAFRESAS ATORN HSK63 D40 A130;MAINTENANCE_INPUT
B0000012753;BROCA MDI Ø8  TIAN 8XD VHM FUTURO;MAINTENANCE_INPUT
B0000013438;BROCA MD DIA.26X180LC MGO.D32H6+WHISTLE NOTCH+REFRIG. INT.;MAINTENANCE_INPUT
B0000013684;ER32 SPR 8-9;MAINTENANCE_INPUT
B0000013983;PLAQUITA MD APHX 160430FR-41M FI20;MAINTENANCE_INPUT
B0000013986;PLAQUITA MD APHT 1604PDFR-41M FI20;MAINTENANCE_INPUT
B0000014094;FRESA MD CIL RD WRC 0616 D1 M6;MAINTENANCE_INPUT
B0000014290;FRESA MD LLAMA B 0820 D3P M6;MAINTENANCE_INPUT
B0000014291;FRESA MD LLAMA B 1025 D3P M6;MAINTENANCE_INPUT
B0000014292;FRESA MD LLAMA B 1230 D3P M6;MAINTENANCE_INPUT
B0000014308;FRESA HSS ARBOL H 1225 D3 M6;MAINTENANCE_INPUT
B0000014798;FRESA M.D. ZYAS 0820 D3P;MAINTENANCE_INPUT
B0000014799;FRESA M.D. ZYAS 1020 D3P;MAINTENANCE_INPUT
B0000015441;FRESA M.D. WRC 1020/6 Z3 PLUS;MAINTENANCE_INPUT
B0000015770;PORTAFRESAS ATORN HSK63 D27 A130;MAINTENANCE_INPUT
